GENE	CNTR_R1	CNTR_R2	D14_R1	D14_R2	D21_R1	D21_R2	D7_R1	D7_R2
1110008P14Rik	444.2698151	496.8218437	10798.27614	9285.709778	12420.61949	14938.30097	5879.043642	6483.987546
1110012L19Rik	214.9692654	192.191608	122.9975767	164.7935908	130.304891	122.556708	102.933364	101.6326936
1110015O18Rik	417.9957938	420.9911413	211.3736132	258.2935004	297.9923327	300.5557363	303.3346038	390.4835068
1110017D15Rik	147.2937559	132.0500164	297.9274635	312.0559485	209.3422839	250.9494497	201.3121544	205.9399317
1110019D14Rik	2293.80168	2367.748313	2146.535486	2862.265984	2038.951123	1641.870818	1338.133732	1390.763175
1110020A21Rik	312.8997085	317.7044948	16.39967689	11.68748871	4.272291509	12.64473972	23.68378288	11.58969313
1110025L11Rik	284.2371398	296.7856803	616.8100697	698.9118247	463.5436287	527.1883789	510.1122466	536.6919432
1110028F11Rik	118.6311872	124.2054609	40.99919222	24.54372628	86.51390305	59.33300943	101.1115346	90.93451529
1110028F18Rik	1223.732448	1100.852612	712.4748516	509.5745076	974.082464	1013.524522	1168.703593	1088.539639
1110032A03Rik	0.796182464	1.307425905	7.288745284	8.181242095	5.340364386	11.67206743	4.55457363	9.806663414
1110032F04Rik	0.796182464	0	0.911093161	1.168748871	1.068072877	0	1.821829452	2.674544567
1110034G24Rik	1625.804592	1767.639823	1845.874743	1864.154449	2415.980848	2412.227269	2174.353451	2291.193179
1110036E04Rik	0	0	0.911093161	0	0	0	0	0.891514856
1110037F02Rik	0	0	0	0	0	0	0	0
1110038B12Rik	849.5266894	834.1377271	1089.66742	1147.711391	984.7631928	1018.387883	941.8858267	991.3645197
1110038F14Rik	38.21675829	37.91535123	31.88826062	29.21872177	29.90604056	23.34413486	45.5457363	47.25028736
1110046J04Rik	7.165642179	11.76683314	6.377652124	1.168748871	2.136145754	0.972672286	2.732744178	0
1110051M20Rik	0	0	0	0	0	0	0	0
1110054M08Rik	4.777094786	3.922277714	8.199838445	10.51873984	8.544583017	7.781378286	3.643658904	8.023633702
1110057K04Rik	0	0	0	0	0	0	0	0
1110058L19Rik	3549.381426	3795.457401	9798.806942	11986.68842	9139.49961	8713.198336	7668.080163	8138.639119
1110059E24Rik	882.1701705	877.282782	1183.510016	1307.829986	1165.267509	986.2896978	920.934788	922.7178758
1110059G10Rik	1725.3274	1951.986876	1337.48476	1313.673731	1528.412287	1461.926446	1365.461174	1397.003779
1110065P20Rik	101.9113554	120.2831832	31.88826062	11.68748871	66.22051838	51.55163115	103.8442788	101.6326936
1190002F15Rik	368.632481	393.5351973	63.77652124	97.00615627	89.71812168	97.26722858	121.1516586	101.6326936
1190002N15Rik	425.1614359	389.6129196	484.7015614	600.7369195	465.6797744	371.5608132	389.8715027	394.0495663
1190003K10Rik	0	0	0	0	1.068072877	0	0	0
1190005I06Rik	304.1417014	305.9376617	611.3435107	767.868008	508.4026895	489.2541598	388.960588	410.0968337
1190007I07Rik	457.804917	468.0584738	447.3467418	432.4370822	396.2550374	498.9808826	454.5464483	507.271953
1200014J11Rik	0	0	0	0	0	0	0	0
1300002E11Rik	1053.3494	1089.085779	2982.919008	2932.390917	3057.892647	2458.915538	3036.989696	3145.264411
1300002K09Rik	412.4225165	381.7683641	619.5433492	849.680429	484.9050862	418.2490829	345.2366812	394.9410811
1300017J02Rik	536.626981	533.4297691	296.1052772	288.6809711	403.7315476	397.8229649	394.4260764	431.4931902
1500004A13Rik	0	0	0	0	0	0	0	0
1500009C09Rik	36.62439336	27.455944	13.66639741	16.36248419	9.612655895	3.890689143	13.66372089	20.50484168
1500009L16Rik	0	0	1.822186321	0	0	0	0	0
1500011B03Rik	26.27402132	30.07079581	19.13295637	16.36248419	11.74880165	20.426118	32.79293014	25.85393082
1500011K16Rik	3.980912322	5.229703618	8.199838445	4.674995483	14.95302028	4.863361429	8.198232534	8.023633702
1500012F01Rik	0	0	0	2.337497741	0	0	0	0
1500012K07Rik	0.796182464	2.614851809	1.822186321	4.674995483	2.136145754	1.945344572	1.821829452	0
1500015A07Rik	1492.842121	1317.885312	1916.94001	1868.829444	1575.407494	1464.844462	1554.931437	1315.875927
1500015L24Rik	0	0	0	0	0	0	0	0
1500015O10Rik	201.4341635	172.5802194	130.286322	79.47492321	161.2790045	184.8077343	188.5593483	190.7841791
1500017E21Rik	0	0	0	0	0	0	0	0
1600002D24Rik	0	0	0	0	0	0	0	0
1600002H07Rik	116.2426398	87.59753561	134.8417878	132.0686224	160.2109316	133.2561032	128.4389764	128.3781392
1600002K03Rik	0	0	0.911093161	0	0	0	0	0
1600010M07Rik	1688.703007	1810.784878	3505.886482	2982.647118	3611.154398	3962.666892	4609.228514	4677.778448
1600012H06Rik	0	0	0	0	0	0	0	0
1600014C10Rik	918.7945638	838.0600048	1162.554873	1361.592434	827.7564798	814.1267032	654.0367733	652.5888744
1600014C23Rik	0	0	0	0	0	0	0	0
1600014K23Rik	0	0	0	0	0	0	0	0
1600015I10Rik	589.1750236	524.2777877	348.9486805	303.8747064	364.2128511	339.4626277	399.8915647	420.7950119
1600016N20Rik	198.2494336	189.5767562	286.9943456	343.612168	250.9971261	257.7581557	222.2631931	232.6853774
1600019K03Rik	2898.900353	2971.779081	3942.300106	4199.314692	3996.728706	3869.290353	3768.454221	3881.655682
1600020E01Rik	0	0	0	0	0	0	0	0
1600023N17Rik	9.554189572	10.45940724	2.733279482	2.337497741	3.204218632	3.890689143	1.821829452	2.674544567
1600025M17Rik	0	0	0	0	0	0	0	0
1600027J07Rik	2.388547393	0	0	0	0	0	0	0.891514856
1600029I14Rik	0	0	0	0	0	0	0	0
1600029O15Rik	0	0	0	0	0	0	0	0
1700001C02Rik	1652.874796	1534.918012	1106.97819	1069.405217	1367.133283	1589.346515	1682.459499	1598.486136
1700001C19Rik	290.6065995	337.3158834	217.7512654	203.3623035	256.3374905	239.2773823	292.403627	285.2847539
1700001D01Rik	0.796182464	0	0	0	1.068072877	0	0.910914726	0.891514856
1700001F09Rik	843.9534122	954.4209103	4534.51066	4182.952208	3670.966479	3879.017076	3727.463059	3516.134591
1700001G11Rik	0	1.307425905	0.911093161	0	0	0.972672286	4.55457363	0.891514856
1700001G17Rik	0	0	0	0	0	0	0.910914726	0.891514856
1700001J03Rik	102.7075379	87.59753561	733.4299942	708.2618156	481.7008676	432.8391672	370.7422935	351.2568532
1700001J11Rik	0	0	0	0	0	0	0	0
1700001K19Rik	13.53510189	19.61138857	3.644372642	1.168748871	6.408437263	5.836033715	3.643658904	8.023633702
1700001K23Rik	738.0611444	627.5644342	1011.313408	1096.286441	796.7823664	783.9738624	689.5624476	647.2397853
1700001L05Rik	0	0	0.911093161	0	3.204218632	0.972672286	2.732744178	1.783029712
1700001L19Rik	0	0	0	0	0	0	0	0
1700001O22Rik	0	0	0	1.168748871	0	0.972672286	0	0
1700001P01Rik	228.5043673	171.2727935	127.5530425	179.9873261	134.5771825	136.17412	112.953426	118.5714758
1700003C15Rik	599.5253956	609.2604715	603.1436723	576.1931933	574.6232079	694.4880121	725.0881219	721.2355183
1700003D09Rik	0	0	0	0	0	0	0	0
1700003E16Rik	0	0	0	0	0	0	0	0
1700003E24Rik	0	1.307425905	5.466558963	4.674995483	0	2.918016857	1.821829452	2.674544567
1700003F12Rik	903.667097	936.1169477	1173.487991	1341.723704	1124.68074	805.3726526	641.2839671	647.2397853
1700003G13Rik	0	0	0	0	0	0	0	0
1700003G18Rik	781.0549975	762.2293024	829.0947761	849.680429	905.7257998	812.1813586	851.7052688	876.3591033
1700003H04Rik	0.796182464	1.307425905	0	0	0	0	0	0
1700003L19Rik	1.592364929	0	3.644372642	2.337497741	4.272291509	3.890689143	4.55457363	1.783029712
1700003M02Rik	140.9242962	135.9722941	125.7308562	101.6811518	110.0115063	130.3380863	166.6973949	174.7369117
1700003M07Rik	0	0	0	0	0	0	0	0
1700003P14Rik	0	0	0	0	0	0	0	0
1700006A11Rik	105.0960853	100.6717947	151.2414647	175.3123306	124.9645266	107.9666237	112.0425113	111.439357
1700006E09Rik	0	0	0	1.168748871	0	0.972672286	0	0
1700006F04Rik	1.592364929	0	0	1.168748871	0	0	0	0
1700006H21Rik	0.796182464	0	0.911093161	1.168748871	0	3.890689143	0	1.783029712
1700007B14Rik	0	0	0.911093161	0	0	0.972672286	0	1.783029712
1700007F19Rik	7.165642179	14.38168495	23.68842217	25.71247516	26.70182193	39.87956372	28.23835651	41.00968337
1700007G11Rik	305.7340663	317.7044948	312.5049541	251.2810072	290.5158226	286.9383243	312.443751	296.874447
1700007J10Rik	54.14040757	50.98961028	4.555465803	2.337497741	6.408437263	3.890689143	10.02006199	2.674544567
1700007K09Rik	0	2.614851809	0	0	1.068072877	1.945344572	0	2.674544567
1700007K13Rik	897.2976373	981.8768543	286.9943456	445.2933197	294.7881141	364.7521072	405.3570531	392.2665366
1700007L15Rik	232.4852796	224.8772556	452.8133008	539.9619783	327.8983733	330.7085772	315.1764952	343.2332195
1700007P06Rik	109.8731801	112.4386278	90.19822289	112.1998916	128.1687453	126.4473972	125.7062322	116.7884461
1700008F21Rik	1111.47072	1189.757573	1091.489606	1058.886477	1166.335582	1073.830204	1364.55026	1323.008046
1700008I05Rik	1229.305725	1409.405125	1099.689445	1097.45519	1237.896465	1386.058007	1238.844027	1400.569838
1700008J07Rik	0	0	0	0	0	0	0	0
1700008K24Rik	27.86638625	30.07079581	12.75530425	12.85623758	32.04218632	31.12551315	23.68378288	24.07090111
1700008O03Rik	10008.80976	11496.19598	4599.198274	4805.895356	7855.676012	8147.103066	5323.385659	6440.303318
1700008P02Rik	1.592364929	2.614851809	6.377652124	2.337497741	3.204218632	3.890689143	0.910914726	5.349089135
1700009C05Rik	1419.593334	1418.557106	1004.024663	836.8241914	1193.037404	1206.113634	1360.906601	1365.800759
1700009J07Rik	681.5321895	702.0877108	518.4120084	481.5245347	632.2991433	584.5760438	729.6426955	710.5373401
1700009N14Rik	0	0	0	0	0	0	0	0
1700009P17Rik	0	0	0	1.168748871	0	0.972672286	1.821829452	0.891514856
1700010B08Rik	1230.89809	1206.75411	974.8696818	1172.255117	955.9252251	939.6014281	736.0190986	753.3300532
1700010D01Rik	3026.289547	3073.758302	2766.989929	2980.30962	3116.636656	2333.440814	2189.839001	2230.570169
1700010I02Rik	0	0	0	1.168748871	0	0	0	0
1700010I14Rik	925.1640235	966.1877435	707.0082926	785.3992411	716.6769006	783.0011901	682.2751298	698.0561321
1700010J16Rik	3.184729857	3.922277714	0.911093161	0	1.068072877	0	0.910914726	0
1700010K23Rik	0	0	0	0	0	0	0	0
1700011A15Rik	0	0	0.911093161	1.168748871	0	0	0	0
1700011B04Rik	14.33128436	7.844555427	7.288745284	3.506246612	6.408437263	4.863361429	7.287317808	6.240603991
1700011E24Rik	1732.493042	1767.639823	1775.72057	1974.016843	1821.064256	2109.726188	2107.856676	2240.376833
1700011H14Rik	0	0	0	0	0	0	0	0
1700011I03Rik	0	0	0	0	0	0	0	0
1700011L22Rik	1.592364929	1.307425905	0	0	0	0	0.910914726	0.891514856
1700011M02Rik	161.6250403	129.4351646	338.9266557	254.7872538	249.9290533	302.5010809	266.8980147	295.9829321
1700012A03Rik	142.5166611	156.8911085	184.0408184	189.3373171	201.8657738	210.0972137	190.3811777	164.0387335
1700012B07Rik	0	0	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0	0	0
1700012D01Rik	3.184729857	5.229703618	17.31077005	33.89371725	32.04218632	29.18016857	20.04012397	13.37272284
1700012D14Rik	0	0	0	0	0	0	0.910914726	0
1700012I11Rik	78.82206397	70.60099885	119.353204	106.3561472	81.17353867	87.54050572	84.71506952	79.34482217
1700012L04Rik	0	0	0	0	0	0	0	0
1700012P22Rik	6.369459715	5.229703618	34.6215401	39.7374616	34.17833207	23.34413486	30.97110068	18.72181197
1700013D24Rik	78.0258815	57.5267398	28.24388798	21.03747967	67.28859126	69.05973229	39.16933322	59.73149534
1700013F07Rik	1.592364929	2.614851809	0	1.168748871	1.068072877	0	0.910914726	0
1700013G24Rik	0	0	0	0	0	0	0	0
1700013H16Rik	472.9323838	503.3589733	288.8165319	230.2435275	352.4640495	364.7521072	409.000712	396.7241108
1700015E13Rik	4.777094786	11.76683314	0	1.168748871	2.136145754	0	0.910914726	1.783029712
1700015F17Rik	0.796182464	1.307425905	0.911093161	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0
1700016C15Rik	381.3714004	462.8287702	466.4796982	490.8745257	430.4333695	472.7187309	417.1989445	405.6392594
1700016D06Rik	61.30604975	70.60099885	79.26510497	82.98116982	81.17353867	54.469648	72.87317808	55.27392106
1700016G22Rik	0	0	0	0	0	0	0	1.783029712
1700016H13Rik	894.1129074	984.4917061	840.9389872	889.4178906	841.6414272	763.5477443	827.1105712	908.4536381
1700016K19Rik	1.592364929	0	0	0	0	0	0.910914726	0
1700016L04Rik	132.9624715	158.1985345	309.7716746	288.6809711	343.9194665	506.7622609	625.7984168	618.7113099
1700016L21Rik	3.980912322	3.922277714	6.377652124	14.02498645	2.136145754	5.836033715	3.643658904	4.457574279
1700016P04Rik	714.971853	715.1619698	513.8565426	354.1309078	632.2991433	680.8706001	862.6362455	826.4342713
1700017B05Rik	125.7968294	133.3574423	119.353204	130.8998735	101.4669233	93.37653944	111.1315966	103.4157233
1700017D01Rik	160.0326753	137.27972	165.8189552	174.1435817	154.8705672	160.4909272	166.6973949	146.2084364
1700017G19Rik	0	0	0	0	0	0	0	0
1700017J07Rik	1306.535424	1194.987277	1025.890899	1065.89897	986.8993385	1112.737095	1135.910663	1202.65354
1700017N19Rik	1039.814298	1104.774889	991.2693587	996.9427867	1088.366262	1086.474943	1116.781454	1115.285085
1700018A04Rik	520.7033317	556.9634354	808.1396334	795.9179809	606.6653942	653.6357761	598.470975	582.1592008
1700018B08Rik	0	1.307425905	0	2.337497741	4.272291509	1.945344572	0	0
1700018B24Rik	761.1504359	717.7768216	401.7920838	338.9371725	498.7900336	504.8169163	564.7671301	575.027082
1700018C11Rik	6324.077314	6866.600851	6128.923691	7385.324114	5730.210986	4530.707507	3835.861911	3674.824236
1700018F24Rik	696.6596563	706.0099885	466.4796982	458.1495573	430.4333695	573.8766486	709.6025715	787.2076177
1700018G05Rik	1947.462308	1983.365097	1627.212385	1670.142136	1712.120822	1538.767556	1175.990911	1325.682591
1700018L02Rik	0	0	0	0	0	0	0.910914726	0
1700019A02Rik	409.2377867	440.6025298	410.9030154	460.4870551	389.8466002	346.2713337	328.8402161	316.4877738
1700019B03Rik	5173.593653	5089.809047	7078.282764	6293.712669	8715.474678	7775.542253	7241.772072	6701.517171
1700019B21Rik	32.64348104	44.45248076	38.26591274	35.06246612	37.3825507	31.12551315	28.23835651	20.50484168
1700019D03Rik	0	0	0	0	0	0	0	0
1700019E08Rik	174.3639597	167.3505158	273.3279482	336.5996748	180.5043162	204.26118	176.7174568	165.8217632
1700019G17Rik	96.33807818	126.8203127	143.9527194	133.2373713	192.2531179	123.5293803	152.1227592	154.2320701
1700019G24Rik	1418.000969	1402.867996	116.6199246	121.5498826	132.4410368	162.4362717	275.0962472	295.0914173
1700019L03Rik	347.9317369	326.8564761	566.6999459	628.7868924	461.4074829	445.4839069	387.1387585	388.7004771
1700019M22Rik	4.777094786	6.537129523	23.68842217	15.19373532	8.544583017	15.56275657	30.06018596	19.61332683
1700019N19Rik	0	0	0	0	0	0	0	0
1700019O17Rik	0.796182464	0	0	0	0	0	0.910914726	0
1700020A23Rik	9.554189572	2.614851809	11.84421109	23.37497741	3.204218632	6.808706001	10.93097671	8.023633702
1700020D05Rik	226.9120023	200.0361634	315.2382336	233.7497741	325.7622275	319.0365097	334.3057044	307.5726253
1700020G17Rik	472.1362013	533.4297691	441.8801829	524.7682429	419.7526407	472.7187309	506.4685877	488.550141
1700020I14Rik	0	0	0	0	0	0	0	0
1700020L24Rik	8.758007108	10.45940724	14.57749057	19.8687308	22.42953042	14.59008429	16.39646507	8.915148558
1700020M21Rik	143.3128436	103.2866465	214.1068927	205.6998012	168.7555146	179.9443729	251.4124644	223.7702288
1700020N01Rik	445.86218	458.9064925	375.3703821	363.4808988	410.1399848	412.4130492	444.5263863	443.0828833
1700020N15Rik	79.61824643	71.90842475	130.286322	104.0186495	116.4199436	102.13059	108.3988524	94.50057472
1700020N18Rik	652.0734383	664.1723595	926.5817443	770.2055058	965.537881	915.2846209	853.5270983	779.183984
1700021F05Rik	8539.853112	8764.983264	34003.81894	23719.75833	30456.09809	29017.7323	33191.91079	26937.12137
1700021F07Rik	1506.377222	1465.624439	1137.044264	1223.680068	1559.386401	1547.521607	1353.619283	1438.904977
1700021K19Rik	0	0	0	0	0	0	0	0
1700021N21Rik	59.71368482	65.37129523	47.37684435	71.29368111	29.90604056	28.20749629	41.9020774	37.44362394
1700022A21Rik	46.17858293	50.98961028	98.39806134	107.5248961	87.58197593	76.84111058	84.71506952	71.32118846
1700022A22Rik	101.115173	107.2089242	191.3295637	199.8560569	124.9645266	97.26722858	90.18055787	94.50057472
1700022E09Rik	12.73891943	22.22624038	107.5089929	113.3686405	124.9645266	198.4251463	74.69500753	73.99573303
1700022H16Rik	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	0.911093161	1.168748871	1.068072877	0	0	0
1700023C21Rik	0	0	0	0	0	0	0.910914726	0
1700023E05Rik	134.5548365	109.823776	159.4413031	140.2498645	201.8657738	264.5668617	232.2832551	264.7799122
1700023F02Rik	835.9915875	794.91495	1739.276843	2184.391639	1505.982757	1429.82826	1161.416276	1259.710491
1700023F06Rik	0	2.614851809	0	0	0	0.972672286	0	0
1700023L04Rik	66.879327	64.06386932	99.3091545	82.98116982	74.7651014	69.05973229	64.67494555	54.3824062
1700024B18Rik	0	0	0	0	0	0	0	0
1700024F13Rik	0	0	0	0	0	0	0	0
1700024G13Rik	101.115173	91.51981332	114.7977382	115.7061382	132.4410368	207.1791969	168.5192243	169.3878226
1700024P04Rik	110.6693625	125.5128868	173.1077005	201.0248058	168.7555146	186.7530789	151.2118445	150.6660106
1700024P16Rik	0	0	0.911093161	1.168748871	0	1.945344572	0	0
1700025B11Rik	0	0	0	0	0	0	0	0.891514856
1700025C18Rik	154.4593981	159.5059604	138.4861604	162.456093	119.6241622	94.34921172	109.3097671	107.8732976
1700025F22Rik	121.815917	118.9757573	139.3972536	135.574869	136.7133283	128.3927417	99.28970513	135.5102581
1700025F24Rik	0	0	0	0	0	0	0	0
1700025G04Rik	263.5363957	268.0223104	562.1444801	431.2683333	459.2713372	410.4677046	503.7358435	476.068933
1700025K24Rik	294.5875118	313.7822171	703.3639199	945.5178364	451.794827	384.2055529	345.2366812	345.9077641
1700025M24Rik	17.51601422	10.45940724	20.04404953	36.23121499	25.63374905	23.34413486	20.04012397	22.2878714
1700025N23Rik	0	0	0	0	0	0	0	0
1700026D08Rik	1853.512777	1809.477452	3486.753525	3441.965424	3827.973192	3475.358077	2939.521821	2869.786321
1700026D11Rik	348.7279194	313.7822171	427.3026923	482.6932836	398.3911832	413.3857215	350.7021695	387.8089623
1700026F02Rik	0	0	0	0	0	0	0	0
1700026L06Rik	2226.922353	2035.662133	1658.189552	2037.129282	2003.704718	1945.344572	1259.795066	1413.051046
1700027A15Rik	2871.033966	2911.637489	3340.97862	3263.146847	3535.321223	3034.737532	3546.191028	3393.105541
1700027F09Rik	2.388547393	3.922277714	0.911093161	1.168748871	0	0	1.821829452	1.783029712
1700027H10Rik	105.0960853	100.6717947	145.7749057	149.5998554	103.6030691	116.7206743	115.6861702	100.7411787
1700027I24Rik	171.9754123	192.191608	15.48858373	22.20622854	20.29338467	8.754050572	14.57463562	8.023633702
1700027J07Rik	7630.612738	6782.925593	3180.626223	2976.803374	3407.152478	3144.6495	3129.902999	3187.165609
1700028B04Rik	132.9624715	152.9688308	183.1297253	213.8810433	181.5723891	188.6984234	189.470263	176.5199414
1700028D13Rik	178.344872	211.8029965	1365.728648	931.4928499	1028.554181	1067.99417	941.8858267	728.3676372
1700028E10Rik	576.4361042	532.1223432	1383.039418	1347.567448	1421.605	1431.773605	1465.661794	1535.188582
1700028I16Rik	0	0	0	0	0	0	0	0
1700028J19Rik	502.391135	479.825307	772.6070001	662.6806097	693.1792973	645.8543978	728.7317808	729.259152
1700028K03Rik	35.82821089	47.06733256	12.75530425	10.51873984	9.612655895	12.64473972	15.48555034	14.26423769
1700028M03Rik	0	0	0	0	0	0	0	0
1700028P14Rik	0	0	0	0	0	0	0	0
1700028P15Rik	515.9262369	536.0446209	103.8646203	129.7311246	160.2109316	232.4686763	200.4012397	243.3835556
1700029B22Rik	15.12746682	22.22624038	2.733279482	3.506246612	1.068072877	1.945344572	11.84189144	14.26423769
1700029F12Rik	2.388547393	0	2.733279482	0	2.136145754	0.972672286	0.910914726	2.674544567
1700029H14Rik	42.99385307	65.37129523	102.042434	99.34365401	89.71812168	88.51317801	120.2407438	129.2696541
1700029I15Rik	279.460045	241.8737923	486.5237477	361.143401	543.6490945	784.9465346	624.887502	693.5985578
1700029J03Rik	0	1.307425905	0.911093161	1.168748871	0	0.972672286	0	0
1700029J07Rik	0	0	3.644372642	3.506246612	5.340364386	8.754050572	0	0.891514856
1700029M20Rik	0	1.307425905	14.57749057	15.19373532	16.02109316	20.426118	15.48555034	13.37272284
1700029N11Rik	0	0	0	0	0	0	0	0
1700029P11Rik	132.1662891	164.735664	128.4641356	148.4311066	81.17353867	107.9666237	109.3097671	86.47694101
1700030A11Rik	58.1213199	65.37129523	53.75449647	63.11243902	42.72291509	48.63361429	76.51683698	54.3824062
1700030C10Rik	0	0	0	0	0	0	0	0
1700030F04Rik	861.4694264	755.6921728	830.0058693	806.4367208	724.1534107	779.1105009	843.5070363	758.6791423
1700030F18Rik	1435.516983	1672.197732	627.7431876	592.5556774	505.1984709	533.0244126	214.0649606	219.3126545
1700030J22Rik	0	0	0	0	0	0	0	0
1700030K09Rik	382.1675829	366.0792533	438.2358102	460.4870551	438.9779525	371.5608132	302.423689	316.4877738
1700030L20Rik	0.796182464	1.307425905	0	0	0	0	0	0
1700030M09Rik	547.7735355	487.6698624	876.4716205	940.8428409	845.9137187	703.2420626	817.0905092	847.8306279
1700030N03Rik	2323.260431	2237.005723	886.4936452	772.5430035	1399.175469	1182.7695	1016.580834	1178.582639
1700030O20Rik	0	0	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	0	0	0	0
1700031F05Rik	5416.429305	5954.017569	5462.914591	6706.28102	4914.203308	3650.439089	3148.121293	3255.812253
1700031M16Rik	1916.411192	2256.617111	617.7211629	684.8868382	868.3432491	913.3392764	821.6450828	785.424588
1700031P21Rik	19.10837914	27.455944	61.04324176	66.61868563	33.11025919	24.31680714	20.04012397	14.26423769
1700034E13Rik	1724.531218	1621.208122	1846.785836	1554.435998	2151.098775	2156.414458	2068.687343	2081.687188
1700034F02Rik	0	0	0	0	0	0	0	0
1700034G24Rik	0	0	0	0	0	0.972672286	0	0
1700034H15Rik	76.43351657	83.67525789	44.64356487	26.88122403	28.83796768	48.63361429	54.65488356	48.14180221
1700034I23Rik	0	0	0	0	0	0	0	0
1700034J05Rik	117.0388223	84.9826838	47.37684435	51.42495031	63.01629975	66.14171543	92.00238733	78.45330731
1700034K08Rik	160.8288578	151.6614049	408.1697359	316.730944	532.9683657	444.5112346	443.6154716	455.5640913
1700034O15Rik	239.6509218	274.55944	152.1525578	158.9498464	112.1476521	169.2449777	238.6596582	238.9259814
1700034P13Rik	258.7593009	311.1673653	317.0604199	479.187037	230.7037415	267.4848786	219.530449	233.5768922
1700036G14Rik	0	0	0.911093161	0	0	0.972672286	0	0
1700037C18Rik	177.5486895	196.1138857	46.46575119	59.60619241	52.33557098	35.98887457	46.45665103	51.70786164
1700037H04Rik	3.184729857	2.614851809	2.733279482	3.506246612	6.408437263	1.945344572	2.732744178	1.783029712
1700039E15Rik	1240.452279	1350.570959	1186.243295	1029.667755	1332.954951	1136.08123	1175.990911	1206.2196
1700039E22Rik	12.73891943	3.922277714	19.13295637	9.349990966	35.24640495	35.01620229	36.43658904	28.52847539
1700040L02Rik	11.94273696	9.151981332	301.5718361	309.7184507	285.1754582	245.113416	156.6773329	196.1332683
1700041C23Rik	0	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0	0
1700042B14Rik	337.5813649	363.4644015	221.395638	204.5310524	242.4525431	284.9929797	296.9582007	285.2847539
1700042G07Rik	0.796182464	0	0	0	1.068072877	0	0	0
1700042G15Rik	329.6195402	282.4039954	437.3247171	501.3932655	403.7315476	550.5325138	474.5865722	495.6822598
1700042O10Rik	21.49692654	16.99653676	43.73247171	50.25620144	34.17833207	31.12551315	44.63482157	41.00968337
1700044C05Rik	1574.052732	1350.570959	1159.821593	1262.24878	1526.276141	1820.842519	1807.254816	1916.75694
1700044K03Rik	0	0	0.911093161	1.168748871	0	0	0	0
1700045H11Rik	0.796182464	0	0	0	1.068072877	0	0	0
